,Indonesia (IDR),Malaysia (MYR),Thailand (THB),Filipina (PHP)
Ticker,IDRUSD=X,MYRUSD=X,THBUSD=X,PHPUSD=X
Date,,,,
2002-01-25,9.583133942214772e-05,,,
2002-01-28,9.629272972233593e-05,,,
2002-01-29,9.71345289144665e-05,,,
2002-01-30,9.685230179456994e-05,,,
2002-01-31,9.694619802758098e-05,,,
2002-02-01,9.685230179456994e-05,,,
2002-02-04,9.694619802758098e-05,,,
2002-02-05,9.7030853794422e-05,,,
2002-02-06,9.685230179456994e-05,,,
2002-02-07,9.737098298501223e-05,,,
2002-02-08,9.756097279023379e-05,,,
2002-02-11,9.794319339562207e-05,,,
2002-02-12,9.828009933698922e-05,,,
2002-02-13,9.815469093155116e-05,,,
2002-02-14,9.775171201908961e-05,,,
2002-02-15,9.758953819982708e-05,,,
2002-02-18,9.770395990926772e-05,,,
2002-02-19,9.818360558710992e-05,,,
2002-02-20,9.816432429943234e-05,,,
2002-02-21,9.799117833608761e-05,,,
2002-02-22,9.789525211090222e-05,,,
2002-02-25,9.825112647376955e-05,,,
2002-02-26,9.828009933698922e-05,,,
2002-02-27,9.820288687478751e-05,,,
2002-02-28,9.85221704468131e-05,,,
2002-03-01,9.900989971356466e-05,,,
2002-03-05,0.00010015022417064756,,,
2002-03-06,0.00010045203089248389,,,
2002-03-07,0.00010057327017420903,,,
2002-03-08,9.985022188629955e-05,,,
2002-03-11,0.0001005530430120416,,,
2002-03-12,0.00010030090197687969,,,
2002-03-13,0.00010025062510976568,,,
2002-03-14,0.00010033108992502093,,,
2002-03-15,0.00010005002695834264,,,
2002-03-18,0.00010030090197687969,,,
2002-03-19,0.00010035122977569699,,,
2002-03-20,0.00010109179129358381,,,
2002-03-21,0.00010131712042493746,,,
2002-03-22,0.00010178117372561246,,,
2002-03-25,0.00010303966701030731,,,
2002-03-26,0.00010443864448461682,,,
2002-03-27,0.00010351966921007261,,,
2002-03-28,0.00010178117372561246,,,
2002-04-02,0.00010235414811177179,,,
2002-04-03,0.00010200958786299452,,,
2002-04-04,0.00010357327846577391,,,
2002-04-05,0.0001043296797433868,,,
2002-04-08,0.00010474494774825871,,,
2002-04-09,0.00010346611816203222,,,
2002-04-10,0.00010438413301017135,,,
2002-04-11,0.00010471203859196976,,,
2002-04-12,0.00010476689203642309,,,
2002-04-15,0.00010643959831213579,,,
2002-04-16,0.00010601081157801673,,,
2002-04-17,0.00010604453564155847,,,
2002-04-18,0.00010649627074599266,,,
2002-04-19,0.00010729613859439269,,,
2002-04-22,0.0001069290010491386,,,
2002-04-23,0.00010604453564155847,,,
2002-04-24,0.00010723860759753734,,,
2002-04-25,0.00010672358621377498,,,
2002-04-26,0.00010746910265879706,,,
2002-04-29,0.00010723860759753734,,,
2002-04-30,0.0001071811348083429,,,
2002-05-02,0.000107066378404852,,,
2002-05-03,0.00010741138248704374,,,
2002-05-06,0.00010765421757241711,,,
2002-05-07,0.00010764262697193772,,,
2002-05-08,0.00010764262697193772,,,
2002-05-10,0.00010770059452624992,,,
2002-05-13,0.00010779346484923735,,,
2002-05-14,0.00010787486826302484,,,
2002-05-15,0.00010822511103469878,,,
2002-05-16,0.00010928962001344189,,,
2002-05-17,0.00011001100210705772,,,
2002-05-20,0.00011061946861445904,,,
2002-05-21,0.00011068068852182478,,,
2002-05-22,0.00011031439498765394,,,
2002-05-23,0.00011179429566254839,,,
2002-05-24,0.00011163829185534269,,,
2002-05-27,0.00011229646042920649,,,
2002-05-28,0.00011277135490672663,,,
2002-05-29,0.00011299434845568612,,,
2002-05-30,0.00011308379180263728,,,
2002-05-31,0.00011497556988615543,,,
2002-06-03,0.00011702749907271937,,,
2002-06-04,0.00011560693383216858,,,
2002-06-05,0.00011204482143511996,,,
2002-06-06,0.00011055832146666944,,,
2002-06-07,0.00011267605441389605,,,
2002-06-10,0.00011454753985162824,,,
2002-06-11,0.00011396011541364715,,,
2002-06-12,0.00011474469647509977,,,
2002-06-13,0.0001142726541729644,,,
2002-06-14,0.00011547344183782116,,,
2002-06-17,0.0001151012911577709,,,
2002-06-18,0.00011554014781722799,,,
2002-06-19,0.00011500862456159666,,,
2002-06-20,0.00011631288361968473,,,
2002-06-21,0.00011587485641939566,,,
2002-06-24,0.00011648223880911246,,,
2002-06-25,0.00011550678755156696,,,
2002-06-26,0.0001152073746197857,,,
2002-06-27,0.00011574073869269341,,,
2002-06-28,0.0001147710281657055,,,
2002-07-01,0.00011481056571938097,,,
2002-07-02,0.00011357183393556625,,,
2002-07-03,0.00011154489766340703,,,
2002-07-04,0.00011293054558336735,,,
2002-07-05,0.00011286681547062472,,,
2002-07-08,0.00011235955025767908,,,
2002-07-09,0.00011223344336031005,,,
2002-07-10,0.00011226494825677946,,,
2002-07-11,0.00010946907423203811,,,
2002-07-12,0.00011019283556379378,,,
2002-07-15,0.00011052776972064748,,,
2002-07-16,0.00011061946861445904,,,
2002-07-17,0.00011154489766340703,,,
2002-07-18,0.00011273957352386788,,,
2002-07-19,0.00011396011541364715,,,
2002-07-22,0.0001134108315454796,,,
2002-07-23,0.00011104941950179636,,,
2002-07-24,0.00011034483031835407,,,
2002-07-25,0.00011104941950179636,,,
2002-07-26,0.00010928962001344189,,,
2002-07-29,0.0001081081063603051,,,
2002-07-30,0.00010970926814479753,,,
2002-07-31,0.0001103204776882194,,,
2002-08-01,0.00010922992805717513,,,
2002-08-02,0.00011019283556379378,,,
2002-08-05,0.00011004126281477511,,,
2002-08-06,0.00011007154535036534,,,
2002-08-07,0.00011037527292501181,,,
2002-08-08,0.00011123470176244155,,,
2002-08-09,0.00011123470176244155,,,
2002-08-12,0.00011299434845568612,,,
2002-08-13,0.00011261261533945799,,,
2002-08-14,0.00011396011541364715,,,
2002-08-15,0.00011289867688901722,,,
2002-08-16,0.00011344299127813429,,,
2002-08-19,0.00011302627535769716,,,
2002-08-20,0.00011305822408758104,,,
2002-08-21,0.00011267605441389605,,,
2002-08-22,0.00011305822408758104,,,
2002-08-23,0.00011251758405705914,,,
2002-08-26,0.00011198208085261285,,,
2002-08-27,0.00011251758405705914,,,
2002-08-28,0.00011253657430643216,,,
2002-08-29,0.00011280315811745822,,,
2002-08-30,0.00011293054558336735,,,
2002-09-02,0.00011298158642603084,,,
2002-09-03,0.00011309018736938015,,,
2002-09-04,0.00011273957352386788,,,
2002-09-05,0.00011282861669315025,,,
2002-09-06,0.00011273957352386788,,,
2002-09-09,0.00011331444693496451,,,
2002-09-10,0.0001127268624259159,,,
2002-09-11,0.00011244798952247947,,,
2002-09-12,0.00011211390665266663,,,
2002-09-13,0.00011142060975544155,,,
2002-09-16,0.00011049723980249837,,,
2002-09-17,0.00011037527292501181,,,
2002-09-18,0.00011111111234640703,,,
2002-09-19,0.00011080332478741184,,,
2002-09-20,0.00011071132030338049,,,
2002-09-30,0.00011118523252662271,,,
2002-10-01,0.00011111111234640703,,,
2002-10-02,0.0001110247612814419,,,
2002-10-03,0.00011093238572357222,,,
2002-10-04,0.00011093238572357222,,,
2002-10-07,0.00011092623753938824,,,
2002-10-08,0.00011104941950179636,,,
2002-10-09,0.00011115433881059289,,,
2002-10-10,0.00011098779214080423,,,
2002-10-11,0.0001110247612814419,,,
2002-10-14,0.00010700909479055554,,,
2002-10-15,0.00010764262697193772,,,
2002-10-16,0.00010876658780034631,,,
2002-10-17,0.00010899182234425098,,,
2002-10-18,0.00010853049752768129,,,
2002-10-21,0.00010877841850742698,,,
2002-10-22,0.00010869565448956564,,,
2002-10-23,0.00010851871775230393,,,
2002-10-24,0.00010851871775230393,,,
2002-10-25,0.00010822511103469878,,,
2002-10-28,0.00010841283801710233,,,
2002-10-29,0.0001081081063603051,,,
2002-10-30,0.00010837758600246161,,,
2002-10-31,0.00010834236309165135,,,
2002-11-01,0.00010840108734555542,,,
2002-11-04,0.0001085599506041035,,,
2002-11-05,0.00010863661009352654,,,
2002-11-06,0.000108565844129771,,,
2002-11-07,0.00010863661009352654,,,
2002-11-08,0.00010877841850742698,,,
2002-11-11,0.00010932546138064936,,,
2002-11-12,0.00011019283556379378,,,
2002-11-13,0.0001105338815250434,,,
2002-11-14,0.00011083402932854369,,,
2002-11-15,0.00011077877570642158,,,
2002-11-18,0.00011117287067463621,,,
2002-11-19,0.00011154489766340703,,,
2002-11-20,0.00011151380022056401,,,
2002-11-21,0.00011086474842159078,,,
2002-11-22,0.00011129660560982302,,,
2002-11-25,0.00011142060975544155,,,
2002-11-26,0.00011126564641017467,,,
2002-11-27,0.0001119194203056395,,,
2002-11-28,0.0001113275793613866,,,
2002-11-29,0.00011138958507217467,,,
2002-12-02,0.00011138958507217467,,,
2002-12-03,0.00011135857494082302,,,
2002-12-04,0.00011123470176244155,,,
2002-12-05,0.00011123470176244155,,,
2002-12-06,0.00011123470176244155,,,
2002-12-09,0.00011138958507217467,,,
2002-12-11,0.00011254924174863845,,,
2002-12-12,0.00011277135490672663,,,
2002-12-13,0.00011267605441389605,,,
2002-12-16,0.00011344299127813429,,,
2002-12-17,0.00011261261533945799,,,
2002-12-18,0.00011248594091739506,,,
2002-12-19,0.0001124227128457278,,,
2002-12-20,0.0001125112539739348,,,
2002-12-23,0.0001124227128457278,,,
2002-12-24,0.00011248594091739506,,,
2002-12-27,0.00011213905236218125,,,
2002-12-30,0.00011173184611834586,,,
2002-12-31,0.00011173184611834586,,,
2003-01-02,0.00011210762022528797,,,
2003-01-03,0.00011201344022992998,,,
2003-01-06,0.00011192568490514532,,,
